County	State	Comfired	New	Death	County_deaths_new	Fatality_ratio
Pickens	South Carolina	7	1	0	0	0%
Aiken	South Carolina	6	2	0	0	0%
Clarendon	South Carolina	6	1	1	0	16.7%
Fairfield	South Carolina	4	0	0	0	0%
Abbeville	South Carolina	4	0	0	0	0%
Chesterfield	South Carolina	4	1	0	0	0%
Jasper	South Carolina	3	0	0	0	0%
Georgetown	South Carolina	3	0	0	0	0%
Oconee	South Carolina	3	1	0	0	0%
Lee	South Carolina	2	0	0	0	0%
Greenwood	South Carolina	2	0	0	0	0%
Colleton	South Carolina	2	1	0	0	0%
Calhoun	South Carolina	1	0	0	0	0%
Saluda	South Carolina	1	0	0	0	0%
Dillon	South Carolina	1	0	0	0	0%
Edgefield	South Carolina	1	0	0	0	0%
Newberry	South Carolina	1	0	0	0	0%
Chester	South Carolina	1	0	0	0	0%
Marlboro	South Carolina	1	0	0	0	0%
Marion	South Carolina	1	0	0	0	0%
Union	South Carolina	1	0	0	0	0%
Williamsburg	South Carolina	1	0	0	0	0%
Clark	Nevada	443	93	10	0	2.3%
Washoe	Nevada	67	0	0	0	0%
Unassigned	Nevada	16	0	0	0	0%
Douglas	Nevada	3	0	0	0	0%
Carson City	Nevada	2	0	0	0	0%
Elko	Nevada	2	0	0	0	0%
Nye	Nevada	1	0	0	0	0%
Lyon	Nevada	1	0	0	0	0%
Humboldt	Nevada	1	0	0	0	0%
Salt Lake	Utah	218	40	0	0	0%
Summit	Utah	102	7	0	0	0%
Davis	Utah	50	11	1	0	2%
Wasatch	Utah	28	8	0	0	0%
Utah	Utah	26	2	0	0	0%
Weber-Morgan	Utah	20	6	0	0	0%
Non-Utah resident	Utah	14	0	0	0	0%
Southwest Utah	Utah	9	1	0	0	0%
Bear River	Utah	7	1	0	0	0%
Tooele	Utah	5	1	0	0	0%
TriCounty	Utah	1	1	1	1	100%
Washington	Oregon	122	18	3	0	2.5%
Marion	Oregon	83	26	3	1	3.6%
Multnomah	Oregon	67	22	2	0	3%
Clackamas	Oregon	31	10	2	0	6.5%
Linn	Oregon	28	2	1	0	3.6%
Deschutes	Oregon	18	3	0	0	0%
Yamhill	Oregon	11	4	0	0	0%
Polk	Oregon	10	4	0	0	0%
Lane	Oregon	10	2	1	0	10%
Jackson	Oregon	6	2	0	0	0%
Benton	Oregon	6	0	0	0	0%
Douglas	Oregon	4	1	0	0	0%
Josephine	Oregon	4	0	0	0	0%
Umatilla	Oregon	3	1	0	0	0%
Klamath	Oregon	2	1	0	0	0%
Clatsop	Oregon	2	0	0	0	0%
Wasco	Oregon	2	1	0	0	0%
Grant	Oregon	1	0	0	0	0%
Union	Oregon	1	0	0	0	0%
Hood River	Oregon	1	0	0	0	0%
Lincoln	Oregon	1	0	0	0	0%
Tillamook	Oregon	1	0	0	0	0%
Columbia	Oregon	1	1	0	0	0%
Morrow	Oregon	1	1	0	0	0%
Hennepin	Minnesota	141	13	1	1	0.7%
Ramsey	Minnesota	34	2	2	0	5.9%
Olmsted	Minnesota	34	5	0	0	0%
Dakota	Minnesota	28	3	0	0	0%
Washington	Minnesota	22	7	0	0	0%
Martin	Minnesota	18	6	1	1	5.6%
Anoka	Minnesota	10	2	0	0	0%
Mower	Minnesota	10	0	0	0	0%
Le Sueur	Minnesota	10	4	0	0	0%
Carver	Minnesota	8	0	0	0	0%
Blue earth	Minnesota	7	1	0	0	0%
Scott	Minnesota	7	1	0	0	0%
Stearns	Minnesota	5	0	0	0	0%
Wright	Minnesota	5	0	0	0	0%
Dodge	Minnesota	5	0	0	0	0%
St. Louis	Minnesota	5	0	0	0	0%
Steele	Minnesota	5	0	0	0	0%
Clay	Minnesota	4	0	0	0	0%
Wabasha	Minnesota	4	0	0	0	0%
Winona	Minnesota	4	0	0	0	0%
Waseca	Minnesota	3	1	0	0	0%
Nicollet	Minnesota	3	0	0	0	0%
Filmore	Minnesota	3	0	0	0	0%
Sherburne	Minnesota	3	2	0	0	0%
Rice	Minnesota	2	0	0	0	0%
Chisago	Minnesota	2	0	0	0	0%
Goodhue	Minnesota	2	1	0	0	0%
Renville	Minnesota	1	0	0	0	0%
Benton	Minnesota	1	0	0	0	0%
Jackson	Minnesota	1	0	0	0	0%
Cass	Minnesota	1	0	0	0	0%
Big Stone	Minnesota	1	0	0	0	0%
Lac Qui Parle	Minnesota	1	0	0	0	0%
Kandiyohi	Minnesota	1	0	0	0	0%
Sibley	Minnesota	1	0	0	0	0%
Wilkin	Minnesota	1	0	0	0	0%
unassign	Minnesota	1	0	0	0	0%
Beltrami	Minnesota	1	1	0	0	0%
Faribault	Minnesota	1	1	0	0	0%
Lincoln	Minnesota	1	1	0	0	0%
Mahnomen	Minnesota	1	1	0	0	0%
Pulaski	Arkansas	88	5	0	0	0%
Cleburne	Arkansas	49	3	1	0	2%
Unassigned	Arkansas	35	12	2	1	5.7%
Faulkner	Arkansas	27	3	0	0	0%
Jefferson	Arkansas	23	0	0	0	0%
Benton	Arkansas	23	0	0	0	0%
Garland	Arkansas	20	1	0	0	0%
Clark	Arkansas	17	2	0	0	0%
Van Buren	Arkansas	16	3	0	0	0%
Washington	Arkansas	13	1	0	0	0%
Crittenden	Arkansas	9	2	0	0	0%
White	Arkansas	6	0	0	0	0%
Lincoln	Arkansas	5	0	0	0	0%
Saline	Arkansas	4	0	0	0	0%
Bradley	Arkansas	4	0	0	0	0%
Craighead	Arkansas	4	0	0	0	0%
Grant	Arkansas	3	0	0	0	0%
Independence	Arkansas	3	0	0	0	0%
Poinsett	Arkansas	3	0	0	0	0%
Cleveland	Arkansas	3	0	0	0	0%
Desha	Arkansas	2	0	0	0	0%
Searcy	Arkansas	2	0	0	0	0%
Sebastian	Arkansas	2	0	0	0	0%
Pope	Arkansas	1	0	0	0	0%
Sevier	Arkansas	1	0	0	0	0%
Boone	Arkansas	1	0	0	0	0%
Greene	Arkansas	1	0	0	0	0%
Polk	Arkansas	1	0	0	0	0%
Columbia	Arkansas	1	0	0	0	0%
Conway	Arkansas	1	0	0	0	0%
Union	Arkansas	1	0	0	0	0%
Woodruff	Arkansas	1	0	0	0	0%
Stone	Arkansas	1	0	0	0	0%
Crawford	Arkansas	1	0	0	0	0%
Cross	Arkansas	1	0	0	0	0%
Hempstead	Arkansas	1	0	0	0	0%
Pike	Arkansas	1	0	0	0	0%
Hot Spring	Arkansas	1	0	0	0	0%
Drew	Arkansas	1	0	0	0	0%
Lawrence	Arkansas	1	0	0	0	0%
Lonoke	Arkansas	1	0	0	0	0%
Randolph	Arkansas	1	0	0	0	0%
Chicot	Arkansas	1	0	0	0	0%
Oklahoma	Oklahoma	94	21	2	0	2.1%
Tulsa	Oklahoma	49	8	1	0	2%
Cleveland	Oklahoma	39	0	3	0	7.7%
Kay	Oklahoma	17	6	0	0	0%
Pawnee	Oklahoma	14	4	1	0	7.1%
Creek	Oklahoma	14	4	1	1	7.1%
Canadian	Oklahoma	11	5	0	0	0%
Washington	Oklahoma	9	4	0	0	0%
Wagoner	Oklahoma	8	2	0	0	0%
Payne	Oklahoma	7	2	0	0	0%
Comanche	Oklahoma	6	3	0	0	0%
Muskogee	Oklahoma	5	1	0	0	0%
Osage	Oklahoma	5	2	0	0	0%
Custer	Oklahoma	3	0	0	0	0%
Logan	Oklahoma	3	0	0	0	0%
Noble	Oklahoma	3	1	0	0	0%
Adair	Oklahoma	3	1	0	0	0%
Lincoln	Oklahoma	3	2	0	0	0%
Grady	Oklahoma	2	0	0	0	0%
McClain	Oklahoma	2	0	0	0	0%
Garvin	Oklahoma	2	0	0	0	0%
Pontotoc	Oklahoma	2	1	0	0	0%
Mayes	Oklahoma	2	0	0	0	0%
Delaware	Oklahoma	2	1	0	0	0%
Pottawatomie	Oklahoma	2	0	0	0	0%
Okmulgee	Oklahoma	2	0	0	0	0%
Pittsburg	Oklahoma	2	2	0	0	0%
Jackson	Oklahoma	1	0	0	0	0%
Bryan	Oklahoma	1	0	0	0	0%
Carter	Oklahoma	1	0	0	0	0%
Stephens	Oklahoma	1	0	0	0	0%
Craig	Oklahoma	1	0	0	0	0%
Ottawa	Oklahoma	1	0	0	0	0%
Sequoyah	Oklahoma	1	0	0	0	0%
Caddo	Oklahoma	1	1	0	0	0%
Cherokee	Oklahoma	1	1	0	0	0%
Choctaw	Oklahoma	1	1	0	0	0%
Latimer	Oklahoma	1	1	0	0	0%
Unassigned	Kentucky	158	54	0	0	0%
Jefferson	Kentucky	35	0	2	0	5.7%
Fayette	Kentucky	28	0	2	1	7.1%
Daviess	Kentucky	14	0	0	0	0%
Harrison	Kentucky	10	0	0	0	0%
Kenton	Kentucky	8	0	0	0	0%
Warren	Kentucky	5	0	0	0	0%
Pulaski	Kentucky	3	0	0	0	0%
Montgomery	Kentucky	2	0	0	0	0%
Clark	Kentucky	2	0	0	0	0%
Bourbon	Kentucky	2	0	1	0	50%
Henderson	Kentucky	2	0	0	0	0%
Anderson	Kentucky	2	0	1	0	50%
Christian	Kentucky	2	0	0	0	0%
Franklin	Kentucky	2	0	0	0	0%
Hardin	Kentucky	2	0	0	0	0%
Breathitt	Kentucky	2	0	0	0	0%
Madison	Kentucky	2	0	0	0	0%
Muhlenberg	Kentucky	2	0	0	0	0%
McCracken	Kentucky	2	0	0	0	0%
Nelson	Kentucky	1	0	0	0	0%
Lyon	Kentucky	1	0	0	0	0%
Calloway	Kentucky	1	0	0	0	0%
Oldham	Kentucky	1	0	0	0	0%
Jessamine	Kentucky	1	0	0	0	0%
Martin	Kentucky	1	0	0	0	0%
Menifee	Kentucky	1	0	0	0	0%
Spencer	Kentucky	1	0	0	0	0%
Northern Kentucky	Kentucky	1	0	0	0	0%
Boone	Kentucky	1	0	0	0	0%
Campbell	Kentucky	1	0	0	0	0%
Laurel	Kentucky	1	0	0	0	0%
Logan	Kentucky	1	0	0	0	0%
Scott	Kentucky	1	0	0	0	0%
Simpson	Kentucky	1	0	0	0	0%
Webster	Kentucky	1	0	0	0	0%
Allen	Kentucky	1	0	0	0	0%
Hopkins	Kentucky	0	0	1	1	
District of Columbia	Washington, D.C.	271	4	4	1	1.5%
Johnson	Iowa	58	9	0	0	0%
Polk	Iowa	28	4	0	0	0%
Linn	Iowa	22	10	0	0	0%
Washington	Iowa	11	3	0	0	0%
Dallas	Iowa	9	2	0	0	0%
Dubuque	Iowa	8	2	1	0	12.5%
Harrison	Iowa	7	4	0	0	0%
Allamakee	Iowa	7	0	1	0	14.3%
Black Hawk	Iowa	7	2	0	0	0%
Muscatine	Iowa	7	1	0	0	0%
Scott	Iowa	7	0	0	0	0%
Tama	Iowa	5	1	0	0	0%
Cedar	Iowa	5	1	0	0	0%
Poweshiek	Iowa	4	0	1	0	25%
Pottawattamie	Iowa	3	0	0	0	0%
Woodbury	Iowa	3	1	0	0	0%
Cerro Gordo	Iowa	3	1	0	0	0%
Hancock	Iowa	3	0	0	0	0%
Benton	Iowa	3	1	0	0	0%
Winneshiek	Iowa	2	1	0	0	0%
Henry	Iowa	2	1	0	0	0%
Story	Iowa	2	0	0	0	0%
Sioux	Iowa	2	0	0	0	0%
Jasper	Iowa	2	0	0	0	0%
Page	Iowa	2	1	0	0	0%
Mahaska	Iowa	2	1	0	0	0%
Monona	Iowa	2	1	0	0	0%
Carroll	Iowa	1	0	0	0	0%
Adair	Iowa	1	0	0	0	0%
Fayette	Iowa	1	0	0	0	0%
Kossuth	Iowa	1	0	0	0	0%
Wapello	Iowa	1	0	0	0	0%
Buchanan	Iowa	1	0	0	0	0%
Warren	Iowa	1	0	0	0	0%
Des Moines	Iowa	1	0	0	0	0%
Appanoose	Iowa	1	0	0	0	0%
Clayton	Iowa	1	0	0	0	0%
Clinton	Iowa	1	0	0	0	0%
Butler	Iowa	1	1	0	0	0%
Dickinson	Iowa	1	1	0	0	0%
Hardin	Iowa	1	1	0	0	0%
Iowa	Iowa	1	1	0	0	0%
Marshall	Iowa	1	1	0	0	0%
Montgomery	Iowa	1	1	0	0	0%
Webster	Iowa	1	1	0	0	0%
Wright	Iowa	1	1	0	0	0%
Blaine	Idaho	99	17	2	0	2%
Ada	Idaho	76	23	0	0	0%
Canyon	Idaho	23	1	1	0	4.3%
Kootenai	Idaho	11	1	0	0	0%
Nez Perce	Idaho	4	0	1	1	25%
Bannock	Idaho	3	1	0	0	0%
Teton	Idaho	2	0	0	0	0%
Madison	Idaho	2	0	0	0	0%
Twin Falls	Idaho	2	1	0	0	0%
Jefferson	Idaho	2	0	0	0	0%
Bingham	Idaho	1	0	0	0	0%
Valley	Idaho	1	0	0	0	0%
Cassia	Idaho	1	0	0	0	0%
Payette	Idaho	1	0	0	0	0%
Fremont	Idaho	1	0	0	0	0%
Idaho	Idaho	1	0	0	0	0%
Custer	Idaho	1	0	0	0	0%
Gem	Idaho	1	1	0	0	0%
Lincoln	Idaho	1	1	0	0	0%
Johnson	Kansas	66	7	1	0	1.5%
Wyandotte	Kansas	43	9	3	1	7%
Sedgwick	Kansas	20	4	0	0	0%
Douglas	Kansas	18	5	0	0	0%
Leavenworth	Kansas	12	0	0	0	0%
Franklin	Kansas	6	5	0	0	0%
Reno	Kansas	5	1	0	0	0%
Shawnee	Kansas	5	1	0	0	0%
Coffey	Kansas	5	5	0	0	0%
Linn	Kansas	4	0	0	0	0%
Lyon	Kansas	4	0	0	0	0%
Butler	Kansas	3	0	0	0	0%
Bourbon	Kansas	3	2	0	0	0%
Crawford	Kansas	3	0	0	0	0%
Cherokee	Kansas	2	0	0	0	0%
Morris	Kansas	2	0	0	0	0%
Mitchell	Kansas	2	0	0	0	0%
Riley	Kansas	2	1	0	0	0%
Jackson	Kansas	1	0	0	0	0%
Pottawatomie	Kansas	1	0	0	0	0%
Doniphan	Kansas	1	0	0	0	0%
Woodson	Kansas	1	0	0	0	0%
Neosho	Kansas	1	0	0	0	0%
Jefferson	Kansas	1	0	0	0	0%
Sumner	Kansas	1	0	0	0	0%
Gove	Kansas	1	1	0	0	0%
Clay	Kansas	1	1	0	0	0%
Osage	Kansas	1	1	0	0	0%
McPherson	Kansas	1	1	0	0	0%
Harvey	Kansas	1	1	0	0	0%
Ottawa	Kansas	1	1	0	0	0%
Ford	Kansas	1	1	0	0	0%
Providence	Rhode Island	91	0	0	0	0%
Unassigned	Rhode Island	71	38	0	0	0%
Washington	Rhode Island	14	0	0	0	0%
Newport	Rhode Island	12	0	0	0	0%
Kent	Rhode Island	9	0	0	0	0%
Bristol	Rhode Island	6	0	0	0	0%
Bernalillo	New Mexico	82	27	0	0	0%
Santa Fe	New Mexico	29	7	0	0	0%
San Juan	New Mexico	17	3	0	0	0%
Dona Ana	New Mexico	16	0	0	0	0%
Sandoval	New Mexico	15	5	0	0	0%
Taos	New Mexico	8	5	0	0	0%
McKinley	New Mexico	5	2	0	0	0%
Chaves	New Mexico	4	0	0	0	0%
Rio Arriba	New Mexico	3	1	0	0	0%
Socorro	New Mexico	2	0	0	0	0%
Lea	New Mexico	2	1	0	0	0%
Cibola	New Mexico	2	1	0	0	0%
Eddy	New Mexico	2	1	1	0	50%
San Miguel	New Mexico	1	0	0	0	0%
Curry	New Mexico	1	0	0	0	0%
Roosevelt	New Mexico	1	1	0	0	0%
Valencia	New Mexico	1	1	0	0	0%
Rockingham	New Hampshire	75	8	0	0	0%
Hillsborough	New Hampshire	43	12	2	1	4.7%
Grafton	New Hampshire	26	3	0	0	0%
Merrimack	New Hampshire	11	4	0	0	0%
Strafford	New Hampshire	11	4	0	0	0%
Belknap	New Hampshire	9	1	0	0	0%
Carroll	New Hampshire	8	1	0	0	0%
Cheshire	New Hampshire	2	0	0	0	0%
Sullivan	New Hampshire	2	0	0	0	0%
Chittenden	Vermont	90	15	4	0	4.4%
Windsor	Vermont	18	1	1	0	5.6%
Bennington	Vermont	15	4	0	0	0%
Addison	Vermont	13	1	0	0	0%
Washington	Vermont	9	2	0	0	0%
Windham	Vermont	7	0	0	0	0%
Franklin	Vermont	6	2	0	0	0%
Lamoille	Vermont	6	1	0	0	0%
Unassigned	Vermont	6	0	5	1	83.3%
Rutland	Vermont	5	0	0	0	0%
Orleans	Vermont	4	1	0	0	0%
Orange	Vermont	3	0	0	0	0%
Caledonia	Vermont	2	1	0	0	0%
Cumberland	Maine	92	2	1	1	1.1%
York	Maine	33	6	0	0	0%
Oxford	Maine	8	0	0	0	0%
Androscoggin	Maine	6	1	0	0	0%
Kennebec	Maine	6	0	0	0	0%
Penobscot	Maine	6	1	0	0	0%
Lincoln	Maine	5	0	0	0	0%
Sagadahoc	Maine	4	0	0	0	0%
Unassigned	Maine	3	2	0	0	0%
Knox	Maine	2	1	0	0	0%
Waldo	Maine	2	0	0	0	0%
Franklin	Maine	1	0	0	0	0%
New Castle	Delaware	106	15	0	0	0%
Sussex	Delaware	38	5	1	0	2.6%
Kent	Delaware	21	2	0	0	0%
Unassigned	Delaware	0	0	1	1	
Gallatin	Montana	42	5	0	0	0%
Yellowstone	Montana	23	9	0	0	0%
Missoula	Montana	8	1	0	0	0%
Silver Bow	Montana	7	2	0	0	0%
Lewis and Clark	Montana	7	2	0	0	0%
Cascade	Montana	7	2	0	0	0%
Flathead	Montana	6	1	0	0	0%
Toole	Montana	5	4	0	0	0%
Madison	Montana	3	1	0	0	0%
Lincoln	Montana	3	2	1	0	33.3%
Broadwater	Montana	2	0	0	0	0%
Jefferson	Montana	2	1	0	0	0%
Roosevelt	Montana	1	0	0	0	0%
Ravalli	Montana	1	0	0	0	0%
Hill	Montana	1	0	0	0	0%
Meagher	Montana	1	0	0	0	0%
Park	Montana	1	1	0	0	0%
Lake	Montana	1	1	0	0	0%
Honolulu	Hawaii	87	10	0	0	0%
Maui	Hawaii	16	2	0	0	0%
Hawaii	Hawaii	7	2	0	0	0%
Kauai	Hawaii	5	0	0	0	0%
Unassigned	Hawaii	5	0	0	0	0%
Unassigned	Grand Princess	95	75	0	0	0%
Solano	Grand Princess	7	0	0	0	0%
San Diego	Grand Princess	1	0	0	0	0%
Grand Princess	Grand Princess	0	0	3	0	
Monongalia	West Virginia	23	0	0	0	0%
Kanawha	West Virginia	17	2	0	0	0%
Berkeley	West Virginia	9	5	0	0	0%
Jackson	West Virginia	6	1	0	0	0%
Ohio	West Virginia	6	5	0	0	0%
Jefferson	West Virginia	4	0	0	0	0%
Harrison	West Virginia	4	0	0	0	0%
Marshall	West Virginia	3	0	0	0	0%
Putnam	West Virginia	3	1	0	0	0%
Marion	West Virginia	3	1	0	0	0%
Raleigh	West Virginia	3	1	0	0	0%
Mason	West Virginia	3	2	0	0	0%
Mercer	West Virginia	2	0	0	0	0%
Tucker	West Virginia	2	0	0	0	0%
Wood	West Virginia	2	0	0	0	0%
Preston	West Virginia	1	0	0	0	0%
Logan	West Virginia	1	0	0	0	0%
Upshur	West Virginia	1	0	0	0	0%
Greenbrier	West Virginia	1	1	0	0	0%
Hancock	West Virginia	1	1	0	0	0%
Pleasants	West Virginia	1	1	0	0	0%
Douglas	Nebraska	47	3	1	1	2.1%
Sarpy	Nebraska	10	0	0	0	0%
Washington	Nebraska	5	0	0	0	0%
Lancaster	Nebraska	4	1	0	0	0%
Buffalo	Nebraska	4	0	0	0	0%
Lincoln	Nebraska	3	0	0	0	0%
Knox	Nebraska	2	0	0	0	0%
Cass	Nebraska	2	0	0	0	0%
Saunders	Nebraska	2	0	0	0	0%
Unassigned	Nebraska	2	0	0	0	0%
Adams	Nebraska	1	0	0	0	0%
Nemaha	Nebraska	1	0	0	0	0%
Gage	Nebraska	1	0	0	0	0%
Madison	Nebraska	1	0	0	0	0%
Kearney	Nebraska	1	0	0	0	0%
Hall	Nebraska	0	0	1	1	
Puerto Rico	Puerto Rico	79	15	3	1	3.8%
Laramie	Wyoming	18	3	0	0	0%
Fremont	Wyoming	17	3	0	0	0%
Teton	Wyoming	12	4	0	0	0%
Natrona	Wyoming	8	2	0	0	0%
Sheridan	Wyoming	5	1	0	0	0%
Johnson	Wyoming	4	3	0	0	0%
Carbon	Wyoming	3	0	0	0	0%
Park	Wyoming	1	0	0	0	0%
Campbell	Wyoming	1	0	0	0	0%
Sweetwater	Wyoming	1	0	0	0	0%
Albany	Wyoming	1	0	0	0	0%
Goshen	Wyoming	1	1	0	0	0%
Washakie	Wyoming	1	1	0	0	0%
Anchorage	Alaska	30	2	0	0	0%
Ketchikan Gateway	Alaska	11	0	0	0	0%
Fairbanks North Star	Alaska	10	0	0	0	0%
North Pole	Alaska	5	5	0	0	0%
Juneau	Alaska	3	1	0	0	0%
Eagle River	Alaska	3	3	0	0	0%
Sterling	Alaska	2	0	0	0	0%
Palmer	Alaska	2	0	0	0	0%
Seward	Alaska	1	0	0	0	0%
Soldotna	Alaska	1	0	0	0	0%
Homer	Alaska	1	0	0	0	0%
Unassigned	Alaska	0	0	1	0	
Burleigh	North Dakota	25	2	0	0	0%
Cass	North Dakota	11	3	1	1	9.1%
Morton	North Dakota	11	3	0	0	0%
Stark	North Dakota	7	2	0	0	0%
Ward	North Dakota	4	0	0	0	0%
Ramsey	North Dakota	3	0	0	0	0%
Pierce	North Dakota	2	0	0	0	0%
Dunn	North Dakota	1	0	0	0	0%
Walsh	North Dakota	1	0	0	0	0%
Foster	North Dakota	1	0	0	0	0%
McHenry	North Dakota	1	0	0	0	0%
McIntosh	North Dakota	1	0	0	0	0%
Minnehaha	South Dakota	18	2	0	0	0%
Beadle	South Dakota	16	2	0	0	0%
Pennington	South Dakota	3	2	1	0	33.3%
Davison	South Dakota	2	0	0	0	0%
McCook	South Dakota	2	0	0	0	0%
Brown	South Dakota	2	0	0	0	0%
Lincoln	South Dakota	2	0	0	0	0%
Lawrence	South Dakota	2	2	0	0	0%
Charles Mix	South Dakota	1	0	0	0	0%
Bon Homme	South Dakota	1	0	0	0	0%
Codington	South Dakota	1	0	0	0	0%
Hughes	South Dakota	1	0	0	0	0%
Lyman	South Dakota	1	0	0	0	0%
Brookings	South Dakota	1	0	0	0	0%
Meade	South Dakota	1	0	0	0	0%
Aurora	South Dakota	1	1	0	0	0%
Faulk	South Dakota	1	1	0	0	0%
Union	South Dakota	1	1	0	0	0%
Todd	South Dakota	1	1	0	0	0%
Guam	Guam	51	6	1	0	2%
Unassigned	Diamond Princess	44	0	0	0	0%
Sonoma	Diamond Princess	2	0	0	0	0%
Riverside	Diamond Princess	2	0	0	0	0%
San Diego	Diamond Princess	1	0	0	0	0%
Unassigned	US Virgin Islands	19	2	0	0	0%
Unassigned	Wuhan Evacuee	4	0	0	0	0%
